grid_w,grid_h,cell_mm,n_agents,occupancy,seed,success_rate,arrived,makespan,flowtime,mean_detour,mean_plan_ms,deadlocks
4,4,500,2,0.125,0,1.0,2,6,7,1.0,0.017803410155465826,0
4,4,500,2,0.125,1,1.0,2,3,5,1.0,0.012825360245187767,0
4,4,500,2,0.125,2,1.0,2,4,5,1.0,0.012798990137525834,0
4,4,500,2,0.125,3,0.5,1,1,1,1.0,0.017123399520642124,1
4,4,500,2,0.125,4,1.0,2,4,5,1.0,0.012222859877510928,0
4,4,500,2,0.125,5,1.0,2,5,9,1.3333333333333335,0.01697255967883393,0
4,4,500,2,0.125,6,1.0,2,6,10,1.25,0.012006499746348709,0
4,4,500,2,0.125,7,1.0,2,3,5,1.0,0.012855299937655218,0
4,4,500,2,0.125,8,1.0,2,5,7,1.0,0.022117279731901363,0
4,4,500,2,0.125,9,1.0,2,2,4,1.0,0.025347949485876597,0
4,4,500,2,0.125,10,1.0,2,5,7,1.0,0.02005311027460266,0
4,4,500,2,0.125,11,1.0,2,4,6,1.0,0.014634940162068233,0
4,4,500,2,0.125,12,1.0,2,3,4,1.0,0.013110830113873817,0
4,4,500,2,0.125,13,1.0,2,3,5,1.0,0.014826369879301637,0
4,4,500,2,0.125,14,1.0,2,2,3,1.0,0.01227272950927727,0
4,4,500,2,0.125,15,1.0,2,2,4,1.0,0.015785720315761864,0
4,4,500,2,0.125,16,1.0,2,3,4,1.0,0.012004239397356287,0
4,4,500,2,0.125,17,1.0,2,3,4,1.0,0.014530899861711077,0
4,4,500,2,0.125,18,1.0,2,3,4,1.0,0.013085049504297785,0
4,4,500,2,0.125,19,1.0,2,2,3,1.0,0.01199253965751268,0
4,4,500,2,0.125,20,1.0,2,4,6,1.0,0.01192215975606814,0
4,4,500,2,0.125,21,1.0,2,2,3,1.0,0.021482519659912214,0
4,4,500,2,0.125,22,1.0,2,4,5,1.0,0.01960529996722471,0
4,4,500,2,0.125,23,1.0,2,5,8,1.0,0.012682289889198728,0
4,4,500,2,0.125,24,1.0,2,5,8,1.0,0.013651499830302782,0
4,4,500,2,0.125,25,1.0,2,3,6,1.0,0.01111323967052158,0
4,4,500,2,0.125,26,1.0,2,2,3,1.0,0.013566639900091104,0
4,4,500,2,0.125,27,1.0,2,4,8,1.0,0.013676180169568397,0
4,4,500,2,0.125,28,1.0,2,4,7,1.0,0.01389740988088306,0
4,4,500,2,0.125,29,1.0,2,3,4,1.0,0.012941869936184958,0
4,4,500,3,0.1875,0,1.0,3,5,12,1.0,0.01881374031654559,0
4,4,500,3,0.1875,1,1.0,3,3,8,1.0,0.021619390172418207,0
4,4,500,3,0.1875,2,1.0,3,4,9,1.0,0.019551180084818043,0
4,4,500,3,0.1875,3,0.6666666666666666,2,1,2,1.0,0.024572399343014695,1
4,4,500,3,0.1875,4,1.0,3,5,9,1.0,0.017982319914153777,0
4,4,500,3,0.1875,5,1.0,3,3,7,1.0,0.017929859459400177,0
4,4,500,3,0.1875,6,1.0,3,6,12,1.1666666666666667,0.017541969573358074,0
4,4,500,3,0.1875,7,1.0,3,5,12,1.2222222222222223,0.01766892019077204,0
4,4,500,3,0.1875,8,1.0,3,5,10,1.2222222222222223,0.018559699747129343,0
4,4,500,3,0.1875,9,1.0,3,5,11,1.2222222222222223,0.017729939354467206,0
4,4,500,3,0.1875,10,0.6666666666666666,2,2,3,1.0,0.020491870163823478,1
4,4,500,3,0.1875,11,1.0,3,4,7,1.0,0.01814936986193061,0
4,4,500,3,0.1875,12,1.0,3,3,5,1.0,0.01982168003451079,0
4,4,500,3,0.1875,13,1.0,3,3,8,1.0,0.018709689829847775,0
4,4,500,3,0.1875,14,1.0,3,2,4,1.0,0.01947494012711104,0
4,4,500,3,0.1875,15,1.0,3,5,9,1.0,0.019067700268351473,0
4,4,500,3,0.1875,16,1.0,3,4,7,1.0,0.018922069793916307,0
4,4,500,3,0.1875,17,1.0,3,3,8,1.0,0.018157279773731716,0
4,4,500,3,0.1875,18,1.0,3,3,7,1.0,0.017937369557330385,0
4,4,500,3,0.1875,19,1.0,3,4,7,1.0,0.017054239942808636,0
4,4,500,3,0.1875,20,1.0,3,4,8,1.0,0.01809027948183939,0
4,4,500,3,0.1875,21,1.0,3,4,9,1.6666666666666667,0.019063870204263367,0
4,4,500,3,0.1875,22,1.0,3,5,10,1.0,0.017931700058397837,0
4,4,500,3,0.1875,23,1.0,3,5,9,1.0,0.019174159824615344,0
4,4,500,3,0.1875,24,1.0,3,5,11,1.0,0.01981055029318668,0
4,4,500,3,0.1875,25,1.0,3,3,7,1.0,0.017702290060697123,0
4,4,500,3,0.1875,26,1.0,3,5,9,1.0,0.021324429762898944,0
4,4,500,3,0.1875,27,1.0,3,3,7,1.0,0.018494270407245494,0
4,4,500,3,0.1875,28,1.0,3,3,7,1.0,0.018698260028031655,0
4,4,500,3,0.1875,29,1.0,3,3,5,1.0,0.01997443992877379,0
4,4,500,4,0.25,0,1.0,4,3,6,1.0,0.02420285985863302,0
4,4,500,4,0.25,1,1.0,4,5,13,1.0,0.02526907999708783,0
4,4,500,4,0.25,2,1.0,4,2,6,1.0,0.025271290505770594,0
4,4,500,4,0.25,3,1.0,4,2,6,1.0,0.024744949623709545,0
4,4,500,4,0.25,4,1.0,4,5,13,1.0,0.02393517963355407,0
4,4,500,4,0.25,5,1.0,4,3,8,1.0,0.02306828995642718,0
4,4,500,4,0.25,6,0.75,3,7,11,1.1333333333333333,0.030311090158647858,1
4,4,500,4,0.25,7,1.0,4,5,16,1.1666666666666667,0.02434729009110015,0
4,4,500,4,0.25,8,1.0,4,3,8,1.0,0.024617719755042344,0
4,4,500,4,0.25,9,1.0,4,4,12,1.0,0.024777170110610314,0
4,4,500,4,0.25,10,0.75,3,2,4,1.0,0.026564929576124996,1
4,4,500,4,0.25,11,1.0,4,4,9,1.0,0.025569390272721648,0
4,4,500,4,0.25,12,1.0,4,3,7,1.0,0.02524061026633717,0
4,4,500,4,0.25,13,1.0,4,3,9,1.0,0.025091069983318448,0
4,4,500,4,0.25,14,1.0,4,2,6,1.0,0.025459049429628067,0
4,4,500,4,0.25,15,1.0,4,5,14,1.0,0.02527193988498766,0
4,4,500,4,0.25,16,1.0,4,3,8,1.0,0.023727920415694825,0
4,4,500,4,0.25,17,1.0,4,5,11,1.0,0.023950949835125357,0
4,4,500,4,0.25,18,1.0,4,2,6,1.0,0.02492937033821363,0
4,4,500,4,0.25,19,1.0,4,5,13,1.1666666666666667,0.02617289988847915,0
4,4,500,4,0.25,20,1.0,4,4,9,1.0,0.02621464002004359,0
4,4,500,4,0.25,21,1.0,4,4,9,1.0,0.02599233055661898,0
4,4,500,4,0.25,22,1.0,4,5,12,1.0,0.024671980063430965,0
4,4,500,4,0.25,23,1.0,4,3,10,1.0,0.024913620072766207,0
4,4,500,4,0.25,24,1.0,4,6,17,1.125,0.02918564001447521,0
4,4,500,4,0.25,25,1.0,4,4,8,1.0,0.027612170306383632,0
4,4,500,4,0.25,26,1.0,4,6,14,1.25,0.024775520141702145,0
4,4,500,4,0.25,27,1.0,4,5,16,1.1666666666666667,0.025398719662916847,0
4,4,500,4,0.25,28,1.0,4,3,9,1.0,0.024997209911816753,0
4,4,500,4,0.25,29,1.0,4,3,7,1.0,0.028805869951611385,0
4,4,500,5,0.3125,0,1.0,5,4,14,1.0,0.03300951044366229,0
4,4,500,5,0.3125,1,1.0,5,5,17,2.0,0.033169360540341586,0
4,4,500,5,0.3125,2,1.0,5,5,15,1.0,0.03224522020900622,0
4,4,500,5,0.3125,3,1.0,5,3,9,1.4,0.033651469711912796,0
4,4,500,5,0.3125,4,1.0,5,5,14,1.1333333333333333,0.033566160054760985,0
4,4,500,5,0.3125,5,1.0,5,4,12,1.0,0.03231686001527123,0
4,4,500,5,0.3125,6,1.0,5,8,21,1.8,0.03208049965905957,0
4,4,500,5,0.3125,7,1.0,5,7,24,1.58,0.032267289934679866,0
4,4,500,5,0.3125,8,1.0,5,5,18,1.8,0.03129884978989139,0
4,4,500,5,0.3125,9,1.0,5,4,11,1.0,0.03070938000746537,0
4,4,500,5,0.3125,10,1.0,5,4,14,1.6,0.031157259945757687,0
4,4,500,5,0.3125,11,1.0,5,2,8,1.0,0.032227359915850684,0
4,4,500,5,0.3125,12,1.0,5,3,9,1.0,0.03186546957294922,0
4,4,500,5,0.3125,13,1.0,5,6,21,1.3,0.033778610013541766,0
4,4,500,5,0.3125,14,1.0,5,3,9,1.0,0.028975650056963786,0
4,4,500,5,0.3125,15,1.0,5,7,20,1.08,0.028389759754645638,0
4,4,500,5,0.3125,16,1.0,5,5,15,1.6,0.03165285008435603,0
4,4,500,5,0.3125,17,1.0,5,6,23,1.5,0.0318035896634683,0
4,4,500,5,0.3125,18,1.0,5,4,12,1.2,0.030486279720207676,0
4,4,500,5,0.3125,19,1.0,5,5,16,1.1333333333333333,0.03272915993875358,0
4,4,500,5,0.3125,20,1.0,5,4,16,1.2,0.033382039473508485,0
4,4,500,5,0.3125,21,1.0,5,4,10,1.0,0.031078519896254875,0
4,4,500,5,0.3125,22,1.0,5,2,8,1.0,0.03304969985038042,0
4,4,500,5,0.3125,23,1.0,5,3,9,1.0,0.033602729672566056,0
4,4,500,5,0.3125,24,1.0,5,7,25,1.3466666666666667,0.03770092975173611,0
4,4,500,5,0.3125,25,0.8,4,4,9,1.0,0.0347550398146268,1
4,4,500,5,0.3125,26,1.0,5,8,17,1.0666666666666667,0.031057310188771226,0
4,4,500,5,0.3125,27,1.0,5,6,16,1.1,0.03838638062006794,0
4,4,500,5,0.3125,28,1.0,5,3,12,1.0,0.031214780174195766,0
4,4,500,5,0.3125,29,1.0,5,3,9,1.0,0.035899119975510985,0
4,4,500,6,0.375,0,1.0,6,4,16,1.0,0.037095979787409306,0
4,4,500,6,0.375,1,1.0,6,4,17,1.3333333333333333,0.03727176030224655,0
4,4,500,6,0.375,2,1.0,6,5,19,1.0,0.04196804977254942,0
4,4,500,6,0.375,3,1.0,6,5,14,1.3333333333333333,0.037728039460489526,0
4,4,500,6,0.375,4,1.0,6,5,21,1.1111111111111112,0.03870098982588388,0
4,4,500,6,0.375,5,1.0,6,4,14,1.0,0.06803170981584117,0
4,4,500,6,0.375,6,0.8333333333333334,5,6,19,1.4,0.07707942982960958,1
4,4,500,6,0.375,7,1.0,6,6,22,1.1111111111111112,0.04792685002030339,0
4,4,500,6,0.375,8,0.8333333333333334,5,8,21,1.2,0.05047053040470928,1
4,4,500,6,0.375,9,1.0,6,9,26,1.55,0.048725749729783274,0
4,4,500,6,0.375,10,1.0,6,4,15,1.0,0.037256159994285554,0
4,4,500,6,0.375,11,1.0,6,6,16,1.6666666666666667,0.042761499717016704,0
4,4,500,6,0.375,12,1.0,6,6,26,1.2,0.04695289004303049,0
4,4,500,6,0.375,13,1.0,6,6,22,1.25,0.04125116036448162,0
