date,script_name,grid_w,grid_h,cell_mm,n_agents,occupancy,seed,run_id,success_rate,arrived,total_bots,all_reached,steps_taken,total_time_s,step_timeouts,makespan,throughput_per_min,mean_overshoot_mm,max_overshoot_mm
2026-06-17 12:29:37,test_real_dotbot_pibt_4bots_5runs,8,8,250,4,0.0625,1,1,0.5,4,4,1,19,97.97,7,12,2.45,78.41,459.49
2026-06-17 12:30:07,test_real_dotbot_pibt_4bots_5runs,8,8,250,4,0.0625,2,2,1.0,4,4,1,9,26.82,1,8,8.95,70.49,335.01
2026-06-17 12:30:48,test_real_dotbot_pibt_4bots_5runs,8,8,250,4,0.0625,3,3,1.0,4,4,1,10,37.87,2,8,6.34,81.21,342.15
2026-06-17 13:07:11,test_real_dotbot_pibt_4bots_5runs,5,5,400,4,0.16,1,1,1.0,4,4,1,6,21.02,1,5,11.42,97.95,479.0
2026-06-17 13:07:41,test_real_dotbot_pibt_4bots_5runs,5,5,400,4,0.16,2,2,1.0,4,4,1,6,21.6,1,5,11.11,100.57,482.0
2026-06-17 13:08:02,test_real_dotbot_pibt_4bots_5runs,5,5,400,4,0.16,3,3,1.0,4,4,1,5,12.59,0,5,19.06,62.95,98.95
2026-06-17 13:08:35,test_real_dotbot_pibt_4bots_5runs,5,5,400,4,0.16,4,4,1.0,4,4,1,8,27.93,1,7,8.59,80.61,449.01
2026-06-17 13:09:55,test_real_dotbot_pibt_4bots_5runs,5,5,400,4,0.16,5,5,0.75,4,4,1,10,51.12,4,6,4.69,108.76,450.44
2026-06-17 13:43:55,test_real_dotbot_pibt_5bots_5runs,5,5,400,5,0.2,1,1,1.0,5,5,1,8,40.6,3,5,7.39,99.39,490.55
2026-06-17 13:45:49,test_real_dotbot_pibt_5bots_5runs,5,5,400,5,0.2,2,2,0.5,5,5,1,14,91.66,9,5,3.27,125.62,476.88
2026-06-17 13:46:31,test_real_dotbot_pibt_5bots_5runs,5,5,400,5,0.2,3,3,1.0,5,5,1,5,25.11,2,3,11.95,96.42,485.73
2026-06-17 13:47:18,test_real_dotbot_pibt_5bots_5runs,5,5,400,5,0.2,4,4,1.0,5,5,1,8,35.07,2,6,8.55,82.67,389.01
2026-06-17 13:48:09,test_real_dotbot_pibt_5bots_5runs,5,5,400,5,0.2,5,5,1.0,5,5,1,7,30.39,2,5,9.87,105.73,466.27
2026-06-17 15:57:03,test_real_dotbot_pibt_5bots_5runs,5,5,400,5,0.2,1,1,1.0,5,5,1,6,16.51,0,6,18.17,78.77,99.98
2026-06-17 15:57:21,test_real_dotbot_pibt_5bots_5runs,5,5,400,5,0.2,2,2,1.0,5,5,1,5,12.62,0,5,23.77,61.65,97.49
2026-06-17 15:57:45,test_real_dotbot_pibt_5bots_5runs,5,5,400,5,0.2,3,3,1.0,5,5,1,5,14.18,0,5,21.16,70.51,99.85
2026-06-17 15:58:10,test_real_dotbot_pibt_5bots_5runs,5,5,400,5,0.2,4,4,1.0,5,5,1,6,22.67,1,5,13.23,80.16,346.9
2026-06-17 15:58:32,test_real_dotbot_pibt_5bots_5runs,5,5,400,5,0.2,5,5,1.0,5,5,1,6,17.69,0,6,16.96,66.6,96.88
2026-06-17 16:05:24,test_real_dotbot_pibt_6bots_5runs,5,5,400,6,0.24,1,1,1.0,6,6,1,6,22.66,1,5,15.89,72.1,209.25
2026-06-17 16:07:26,test_real_dotbot_pibt_6bots_5runs,5,5,400,6,0.24,2,2,1.0,6,6,1,7,20.61,0,7,17.47,66.65,98.15
2026-06-17 16:07:51,test_real_dotbot_pibt_6bots_5runs,5,5,400,6,0.24,3,3,1.0,6,6,1,5,14.22,0,5,25.32,61.65,97.67
2026-06-17 16:08:06,test_real_dotbot_pibt_6bots_5runs,5,5,400,6,0.24,4,4,1.0,6,6,1,4,11.25,0,4,32.0,65.72,99.96
2026-06-17 16:08:21,test_real_dotbot_pibt_6bots_5runs,5,5,400,6,0.24,5,5,1.0,6,6,1,4,11.8,0,4,30.51,79.17,96.42
2026-06-17 16:25:43,test_real_dotbot_pibt_7bots_5runs,5,5,400,7,0.28,1,1,1.0,7,7,1,10,30.49,0,10,13.78,67.42,97.25
2026-06-17 16:26:11,test_real_dotbot_pibt_7bots_5runs,5,5,400,7,0.28,2,2,1.0,7,7,1,7,20.24,0,7,20.75,70.32,97.98
2026-06-17 16:26:43,test_real_dotbot_pibt_7bots_5runs,5,5,400,7,0.28,3,3,1.0,7,7,1,6,28.9,2,4,14.53,88.98,488.0
2026-06-17 16:27:27,test_real_dotbot_pibt_7bots_5runs,5,5,400,7,0.28,4,4,1.0,7,7,1,6,16.76,0,6,25.06,62.93,99.41
2026-06-17 16:29:43,test_real_dotbot_pibt_7bots_5runs,5,5,400,7,0.28,5,5,0.5,7,7,1,10,78.32,8,2,5.36,130.74,617.3
2026-06-17 16:54:03,test_real_dotbot_pibt_8bots_5runs,5,5,400,8,0.32,1,1,1.0,8,8,1,11,31.18,0,11,15.39,63.86,99.96
2026-06-17 16:54:29,test_real_dotbot_pibt_8bots_5runs,5,5,400,8,0.32,2,2,1.0,8,8,1,7,20.85,0,7,23.02,72.6,99.05
2026-06-17 16:56:04,test_real_dotbot_pibt_8bots_5runs,5,5,400,8,0.32,3,3,0.5,6,8,0,30,90.6,1,29,3.97,63.3,407.07
2026-06-17 16:56:56,test_real_dotbot_pibt_8bots_5runs,5,5,400,8,0.32,4,4,1.0,8,8,1,8,40.21,3,5,11.94,85.24,445.7
2026-06-17 16:58:39,test_real_dotbot_pibt_8bots_5runs,5,5,400,8,0.32,5,5,0.5,8,8,1,10,71.09,6,4,6.75,82.08,233.86
2026-06-17 17:20:51,test_real_dotbot_pibt_8bots_5runs,5,5,400,8,0.32,1,1,0.5,8,8,1,20,95.72,6,14,5.01,86.55,745.2
2026-06-17 17:22:34,test_real_dotbot_pibt_8bots_5runs,5,5,400,8,0.32,2,2,0.5,8,8,1,13,98.07,9,4,4.89,133.19,621.77
2026-06-17 17:22:54,test_real_dotbot_pibt_8bots_5runs,5,5,400,8,0.32,3,3,1.0,8,8,1,5,15.6,0,5,30.77,73.8,99.02
2026-06-17 17:23:26,test_real_dotbot_pibt_8bots_5runs,5,5,400,8,0.32,4,4,1.0,8,8,1,8,25.52,0,8,18.81,68.43,99.98
2026-06-17 17:23:53,test_real_dotbot_pibt_8bots_5runs,5,5,400,8,0.32,5,5,1.0,8,8,1,6,17.52,0,6,27.4,67.69,99.04
2026-06-17 17:36:52,test_real_dotbot_pibt_8bots_5runs,5,5,400,8,0.32,1,1,0.5,8,8,1,7,63.27,7,0,7.59,39.56,128.0
2026-06-17 17:45:35,test_real_dotbot_pibt_8bots_5runs,5,5,400,8,0.32,1,1,1.0,8,8,1,1,0.0,0,1,0.0,0.0,0.0
